name	id	max_length	max_width	island_group	body_of_water
Île Amsterdam	/m/03b2cc				Pacific Ocean
Heald Island	/m/02p_klf				
Pele	/m/02rhksn				
Rebbenesøya	/m/03c47d4				
Cooper Island	/m/02qwnwh				Pacific Ocean
Lopez Island	/m/02nxtj	24.14016	12.874752	San Juan Islands	
Syevyero Vostochnyye Islands	/m/02z4h1h				
Large Island	/m/02z5g4w			Lesser Antilles,Antilles	
Frenchman's Cay	/m/02z5gft			Virgin Islands	
Faray	/m/02k72m			Orkney Islands,British Isles	
Catalina Island	/m/02p1jm0				
Chichi-jima	/m/03dszb			Ogasawara Islands	Pacific Ocean
Green Cay	/m/02y_7nz			Virgin Islands	
Neish Island	/m/03czng4				Loch Earn
Blue Lagoon Island	/m/02r4vkm				
Bettowia	/m/027s6gr			Lesser Antilles,Antilles	
Kobroor	/m/02rqqwf			Aru Islands,Maluku Islands	
French Frigate Shoals	/m/032rfg			Hawaiian Islands	Pacific Ocean
Eilean Ruairidh Mòr	/m/03gv4ds				
Kustavi	/m/03bzpw				
Mukawwa Island	/m/0910ln				
Annet, Isles of Scilly	/m/09b2bl			Isles of Scilly	
Gatter Island	/m/0bbzs6f			Canadian Arctic Archipelago	
Isla del Caño	/m/093txs				
Kubbar Island	/m/09mv78				Persian Gulf
Kanaga Island	/m/06tq10			Aleutian Islands,Andreanof Islands	
Roaring Bulls	/m/07m7hy				
Scotasay	/m/06x1d0			British Isles,Outer Hebrides	
Makapu	/m/0746l6g			Tuamotu-Gambier Islands	
Boreray, North Uist	/m/06kdlb			British Isles,Outer Hebrides	
Jomalig, Quezon	/m/06rbsm				
Mulhadhoo	/m/076yl0				
Dhiffushi	/m/07pwhz				
Averills Island	/m/07mf3_				
Thulhaagiri	/m/07p_mc				
Vaadhoo	/m/076vrj				
Medhufinolhu	/m/07p_gg				
Ihavandhoo	/m/076yjn				
Maaréhaa	/m/07pykm				
Madifushi	/m/076qcb				
Canouan	/m/06vjgw			Lesser Antilles,Antilles	
Chalki	/m/0773m_			Dodecanese	Aegean Sea,Mediterranean Sea
Nam Fung Chau	/m/09hcr2				
Palm Island, Grenadines	/m/0bc_d2			Lesser Antilles,Antilles	
Gasparilla Island	/m/09z8hy				
Lower Twin Island	/m/09l558				
Anderson Island	/m/064h_x				
Askø	/m/06158w				
Mangareva	/m/0565q7			Gambier Islands,Tuamotu-Gambier Islands	Pacific Ocean
Achadas da Cruz	/m/05jx8_				
Nottingham Island	/m/0564nl				
Anvil Island	/m/05mzpjl				Pacific Ocean,Howe Sound
Boudet Island	/m/0dr__9w				
Pullen Island	/m/0dsdphx				
Maiao	/m/0dyysw			Society Islands	Pacific Ocean
Ontong Java Atoll	/m/0f0p55			Solomon Islands	
Square End Island	/m/0fpglhb				Indian Ocean
Sims Island	/m/0fpgc9g				
Hop Island	/m/0fq01q_				
Menier Island	/m/0drznjf				
Dhebaidhoo	/m/07px6j				
Dhonfanu	/m/076v5v				
Eilean Bàn	/m/07qp0x			Inner Hebrides,British Isles	
Maththuréhaa	/m/07pyln				
Madifushi	/m/076slq				
Thimarafushi	/m/076qdc				
Paramushir	/m/074048			Kuril Islands	Sea of Okhotsk
Vabbinfaru	/m/07p_nd				
Wetar	/m/06tbk0			Maluku Islands,Sunda Islands	
Crab Island	/m/05h2wjr				Lake Champlain
Scarborough Shoal	/m/063nzw				
Orango	/m/059f0z				
Burnaby Island	/m/04yf5fy			Queen Charlotte Islands	
Pulau Sibu	/m/05s6cm				South China Sea
Meck	/m/064pmq			Kwajalein	
Whiskey Island	/m/05zkc4b				Lake Michigan
Prince Leopold Island	/m/0642xrm			Canadian Arctic Archipelago	
Lokrum	/m/0dgpx4				Adriatic Sea
Geiger Island	/m/0c029bh				Dale Hollow Reservoir
Kinn	/m/0ctznd				
Danskøya	/m/0bs683			Svalbard Archipelago	
Qullikorsuit Island	/m/0ch458y				
Kilifarevo Island	/m/0bs6w47			South Shetland Islands	
Sarigan	/m/0d484k				
La Gorce Island	/m/0czct4z				
Ketoy	/m/0d6py1			Kuril Islands	Sea of Okhotsk
Bhit Shah Island	/m/0bn4wc				
North Island, Torres Strait	/m/0dfkbq			Torres Strait Islands	Torres Strait
Uncatena Island	/m/0d_6_5				
Funadhoo	/m/07p_1_				
Olhahali	/m/07p_hw				
Guraidhoo	/m/076q75				
Hanimaadhoo	/m/076wrf				
Somosomo	/m/06wq81				
Gemanafushi	/m/076lq9				
Dugong Islet, Torres Strait	/m/0ddwj5			Torres Strait Islands	Torres Strait,Pacific Ocean
Magra Islet, Queensland	/m/0dc8r1				
Arkoudi	/m/0ctgdm			Ionian Islands	
Peristera	/m/0cth3y			Sporades	Aegean Sea
Etna Island	/m/0drz0xz				
Koresand	/m/0dl7nd				
Nelly Island	/m/0drxwm_				
Nepean Island, Torres Strait	/m/0dj495			Torres Strait Islands	Torres Strait
Barrett Island	/m/0dgrgy4				
Erromango	/m/0c1nl5			Vanuatu	Pacific Ocean
Hidra	/m/0c69dh				
Hicks Island, Queensland	/m/0dbwvq				
Tromsøya	/m/0c0vgk				
Liran	/m/0bx1d2			Maluku Islands,Sunda Islands	
Tuckernuck Island	/m/0fsfl3				
Depot Island	/m/0dsdyww				
Rollet Island	/m/0fq0467				
Nupkins Island	/m/0dsbphn				
